scope,dimension,checkpoint,progress_q,eff_q,markets,pooled_n,future_net_atr_eq_market_mean,future_net_atr_eq_market_median,future_mfe_atr_eq_market_mean,future_mfe_atr_eq_market_median,future_mae_atr_eq_market_mean,future_mae_atr_eq_market_median,future_plus2_eq_market_mean,future_plus2_eq_market_median,future_plus4_eq_market_mean,future_plus4_eq_market_median,remaining_bars_eq_market_mean,remaining_bars_eq_market_median
2010-2014,joint,10,3.0,4.0,3,4,-1.1077310788114165,-0.23242628176524864,3.729226985835918,2.803376199125761,3.757567455802539,1.956588605570902,0.16666666666666666,0.0,0.0,0.0,25.333333333333332,22.0
2010-2014,joint,10,4.0,3.0,3,4,10.528175914116773,10.528175914116773,14.749363551804695,14.749363551804695,1.759415709412036,1.759415709412036,0.75,0.75,0.75,0.75,78.5,78.5
2010-2014,joint,10,4.0,4.0,9,30,-1.3694957489572498,-0.44992627764868896,5.679982506119509,4.665855270686539,3.572184917466814,2.762787018770643,0.4444444444444444,0.5,0.2222222222222222,0.25,38.351851851851855,38.0
2010-2014,joint,10,4.0,5.0,3,7,-0.9511558768514862,-0.9511558768514862,4.714883942010611,4.714883942010611,3.7994064285734767,3.7994064285734767,0.5,0.5,0.5,0.5,33.833333333333336,33.833333333333336
2010-2014,joint,10,5.0,4.0,3,3,4.039697957131435,3.2577235782351483,9.871799544544894,6.548236236849296,1.4014296586965084,1.395163103706899,0.6666666666666666,0.5,0.6666666666666666,0.5,55.0,55.0
2010-2014,joint,10,5.0,5.0,9,32,-0.7681908081122294,0.4537075090253527,7.29414127024598,6.302119868368349,3.4463186492273307,2.310454520141803,0.6455026455026455,0.6666666666666666,0.4603174603174603,0.5,45.80291005291005,43.75
2015-2019,progress,5,1.0,,9,56,-0.04808495828879371,-0.14497981212386774,3.728710398025996,2.3730795414585276,1.5182338975081318,1.1383552502041244,0.3425925925925926,0.3333333333333333,0.17592592592592593,0.16666666666666666,24.61111111111111,24.5
2015-2019,progress,5,2.0,,9,53,0.8401998218990485,0.6672192160769437,4.557189221773033,3.067194926592319,2.4653529824115177,1.7327693941534684,0.48703703703703705,0.5,0.31851851851851853,0.3333333333333333,35.57037037037037,34.5
2015-2019,progress,5,3.0,,9,50,0.4603994109857396,0.560416724383888,4.279889513173117,3.480701343133436,2.6411431619024664,2.199817747618369,0.4888888888888889,0.5,0.3416666666666667,0.3333333333333333,36.59444444444444,37.0
2015-2019,progress,5,4.0,,9,64,0.5477730397918303,0.9445009107368385,3.509891477965302,2.339852529948973,2.3952395194835347,1.7527781746994636,0.5069444444444444,0.5,0.35555555555555557,0.3333333333333333,31.32037037037037,31.0
2015-2019,progress,5,5.0,,8,39,0.011609805344777228,0.39797207274539274,5.896166171547038,4.237060208174565,3.2963220149963644,2.969531481132824,0.49492385786813495,0.5,0.3719251336898396,0.375,48.146201814058954,46.5
